Date;Total Readings
2013-1-1;14.532
2013-1-2;11.716
2013-1-3;11.387
2013-1-4;11.846
2013-1-5;11.569
2013-1-6;11.77
2013-1-7;9.369
2013-1-8;8.693
2013-1-9;8.332
2013-1-10;9.059
2013-1-11;9.808
2013-1-12;8.161
2013-1-13;9.822
2013-1-14;11.509
2013-1-15;10.917
2013-1-16;9.635
2013-1-17;8.899
2013-1-18;7.85
2013-1-19;12.281
2013-1-20;9.804
2013-1-21;7.019
2013-1-22;8.537
2013-1-23;nan
2013-1-24;8.587
2013-1-25;6.726
2013-1-26;6.868
2013-1-27;7.749
2013-1-28;6.264
2013-1-29;7.613
2013-1-30;9.752
2013-1-31;7.998
2013-2-1;6.432
2013-2-2;7.646
2013-2-3;9.704
2013-2-4;5.791
2013-2-5;6.151
2013-2-6;7.407
2013-2-7;5.216
2013-2-8;6.951
2013-2-9;10.291
2013-2-10;10.922
2013-2-11;8.237
2013-2-12;8.074
2013-2-13;9.046
2013-2-14;7.791
2013-2-15;7.181
2013-2-16;7.842
2013-2-17;8.673
2013-2-18;8.424
2013-2-19;7.414
2013-2-20;8.415
2013-2-21;7.619
2013-2-22;7.897
2013-2-23;7.851
2013-2-24;14.019
2013-2-25;8.39
2013-2-26;9.311
2013-2-27;7.057
2013-2-28;9.061
2013-3-1;6.951
2013-3-2;6.995
2013-3-3;8.92
2013-3-4;6.566
2013-3-5;7.505
2013-3-6;7.064
2013-3-7;8.785
2013-3-8;6.709
2013-3-9;7.821
2013-3-10;8.974
2013-3-11;nan
2013-3-12;6.935
2013-3-13;6.302
2013-3-14;8.73
2013-3-15;7.6
2013-3-16;7.499
2013-3-17;6.758
2013-3-18;8.139
2013-3-19;6.63
2013-3-20;7.568
2013-3-21;5.995
2013-3-22;6.568
2013-3-23;7.625
2013-3-24;8.435
2013-3-25;8.005
2013-3-26;7.85
2013-3-27;6.897
2013-3-28;6.147
2013-3-29;3.449
2013-3-30;3.448
2013-3-31;nan
2013-4-1;6.418
2013-4-2;7.834
2013-4-3;6.473
2013-4-4;6.928
2013-4-5;5.224
2013-4-6;5.896
2013-4-7;8.885
2013-4-8;nan
2013-4-9;7.794
2013-4-10;7.603
2013-4-11;6.836
2013-4-12;7.281
2013-4-13;6.82
2013-4-14;9.4
2013-4-15;8.434
2013-4-16;12.46
2013-4-17;16.021
2013-4-18;8.474
2013-4-19;7.374
2013-4-20;8.541
2013-4-21;7.192
2013-4-22;7.386
2013-4-23;6.244
2013-4-24;6.682
2013-4-25;5.97
2013-4-26;5.746
2013-4-27;5.884
2013-4-28;13.649
2013-4-29;9.693
2013-4-30;7.35
2013-5-1;11.432
2013-5-2;8.003
2013-5-3;6.167
2013-5-4;4.758
2013-5-5;4.44
2013-5-6;6.679
2013-5-7;7.868
2013-5-8;10.174
2013-5-9;6.085
2013-5-10;6.279
2013-5-11;10.144
2013-5-12;9.679
2013-5-13;6.412
2013-5-14;6.361
2013-5-15;6.813
2013-5-16;12.92
2013-5-17;24.761
2013-5-18;22.535
2013-5-19;22.918
2013-5-20;23.204
2013-5-21;20.547
2013-5-22;17.782
2013-5-23;19.839
2013-5-24;14.903
2013-5-25;13.624
2013-5-26;16.244
2013-5-27;16.519
2013-5-28;19.915
2013-5-29;17.714
2013-5-30;19.871
2013-5-31;21.828
2013-6-1;27.116
2013-6-2;19.766
2013-6-3;22.63
2013-6-4;23.577
2013-6-5;23.37
2013-6-6;17.426
2013-6-7;19.564
2013-6-8;19.65
2013-6-9;20.922
2013-6-10;25.858
2013-6-11;26.818
2013-6-12;25.832
2013-6-13;20.563
2013-6-14;16.655
2013-6-15;17.619
2013-6-16;23.034
2013-6-17;32.223
2013-6-18;27.174
2013-6-19;30.502
2013-6-20;27.678
2013-6-21;27.855
2013-6-22;29.833
2013-6-23;nan
2013-6-24;28.498
2013-6-25;31.39
2013-6-26;27.06
2013-6-27;31.085
2013-6-28;27.433
2013-6-29;34.256
2013-6-30;31.561
2013-7-1;23.482
2013-7-2;22.777
2013-7-3;25.543
2013-7-4;29.215
2013-7-5;35.723
2013-7-6;34.341
2013-7-7;39.528
2013-7-8;27.184
2013-7-9;27.847
2013-7-10;15.244
2013-7-11;18.585
2013-7-12;35.028
2013-7-13;34.806
2013-7-14;27.341
2013-7-15;20.883
2013-7-16;21.749
2013-7-17;15.242
2013-7-18;17.684
2013-7-19;24.724
2013-7-20;26.901
2013-7-21;28.54
2013-7-22;25.467
2013-7-23;28.849
2013-7-24;12.67
2013-7-25;15.125
2013-7-26;15.351
2013-7-27;9.822
2013-7-28;13.084
2013-7-29;15.328
2013-7-30;16.423
2013-7-31;16.682
2013-8-1;19.271
2013-8-2;18.259
2013-8-3;18.13
2013-8-4;30.765
2013-8-5;36.146
2013-8-6;37.082
2013-8-7;25.364
2013-8-8;33.186
2013-8-9;23.92
2013-8-10;37.022
2013-8-11;31.899
2013-8-12;31.715
2013-8-13;21.988
2013-8-14;23.657
2013-8-15;25.908
2013-8-16;20.405
2013-8-17;25.17
2013-8-18;nan
2013-8-19;15.539
2013-8-20;13.925
2013-8-21;22.427
2013-8-22;19.26
2013-8-23;25.866
2013-8-24;29.517
2013-8-25;26.698
2013-8-26;20.098
2013-8-27;13.817
2013-8-28;25.635
2013-8-29;21.468
2013-8-30;27.785
2013-8-31;35.58
2013-9-1;33.216
2013-9-2;33.099
2013-9-3;32.029
2013-9-4;33.025
2013-9-5;27.608
2013-9-6;30.521
2013-9-7;27.755
2013-9-8;29.693
2013-9-9;20.395
2013-9-10;20.67
2013-9-11;25.8
2013-9-12;25.929
2013-9-13;14.06
2013-9-14;10.297
2013-9-15;19.027
2013-9-16;25.684
2013-9-17;22.071
2013-9-18;26.279
2013-9-19;24.037
2013-9-20;19.64
2013-9-21;16.454
2013-9-22;22.378
2013-9-23;16.505
2013-9-24;20.079
2013-9-25;22.795
2013-9-26;20.221
2013-9-27;21.152
2013-9-28;20.623
2013-9-29;14.597
2013-9-30;17.922
2013-10-1;18.498
2013-10-2;20.184
2013-10-3;21.089
2013-10-4;19.289
2013-10-5;20.233
2013-10-6;11.918
2013-10-7;8.893
2013-10-8;13.484
2013-10-9;9.011
2013-10-10;9.018
2013-10-11;14.641
2013-10-12;nan
2013-10-13;6.513
2013-10-14;6.391
2013-10-15;11.44
2013-10-16;12.569
2013-10-17;11.98
2013-10-18;7.633
2013-10-19;6.755
2013-10-20;7.357
2013-10-21;10.073
2013-10-22;nan
2013-10-23;6.297
2013-10-24;5.674
2013-10-25;6.112
2013-10-26;8.945
2013-10-27;8.149
2013-10-28;7.266
2013-10-29;6.673
2013-10-30;14.248
2013-10-31;11.887
2013-11-1;7.496
2013-11-2;nan
2013-11-3;6.044
2013-11-4;6.137
2013-11-5;7.25
2013-11-6;8.526
2013-11-7;5.133
2013-11-8;8.64
2013-11-9;11.086
2013-11-10;10.599
2013-11-11;9.567
2013-11-12;nan
2013-11-13;8.974
2013-11-14;8.811
2013-11-15;15.982
2013-11-16;7.443
